TX_RX_ID,Environment,TX_Power_dBm,PL_NYU_SUM_dB,PL_USC_perDelayMax_dB,Delta_PL_dB,DS_NYU_SUM_ns,DS_USC_perDelayMax_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,Delta_ASA_10dB,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC,Delta_ASD_10dB
T2-R35,LOS,-2,109.324998796992,110.822160839145,-1.49716204215341,26.2703580291789,29.208318000505,-2.93795997132607,3.26465840306231,3.99018864777292,27.1152305729823,23.8055007662214,-20.540842363159,3.26465840306254,3.24383502102049,7.4048996870866,6.52999034824482,-3.26533194518228
T2-R36,LOS,-2,105.687225560719,106.761565909674,-1.0743403489553,17.6771320277397,18.5029213919938,-0.825789364254103,3.79324344526795,3.77888869902814,3.37996912981359,11.8417770138297,-8.04853356856177,3.26465840306243,3.29835937087871,3.43966395578924,4.04645240326836,-0.781794000205933
T3-R1,NLOS,-1.37,130.640044539459,133.400970553419,-2.76092601396039,16.0591828573162,15.9686642950192,0.0905185622969888,10.8940609779036,12.1738454271589,11.9892640448958,11.8024579556753,-0.90839697777171,6.67650494602652,6.06191702888466,5.78368902397937,5.49231916017547,1.18418578585105
T3-R35,LOS,-1.37,116.810875310632,118.814853873068,-2.00397856243625,27.1501465183845,26.3642265404076,0.785919977976846,13.4865401626211,12.4361545396533,12.4536673542334,12.3134719981395,1.17306816448163,25.130025100854,22.8736917273781,22.1212799834316,21.5929354492073,3.53708965164665
T3-R36,LOS,-1.37,115.161464695972,117.058723769216,-1.89725907324316,8.27452792526951,9.8114518715929,-1.5369239463234,3.26465840306243,3.76336398058001,3.22561723584405,6.54953208192683,-3.28487367886441,3.26465840306243,3.3404781617063,2.91675791501965,2.7022406464427,0.562417756619729
T3-R37,LOS,-1.37,120.685716642602,122.844415863348,-2.15869922074596,11.7957760922601,15.0801528508839,-3.28437675862372,3.97210015187542,3.79258211085372,3.39802486702098,10.3052201020056,-6.33311995013018,3.26465840306243,3.2788310177842,2.70885529869041,1.88041615991831,1.38424224314412
T4-R1,NLOS,-1.72,128.210892515018,129.544493757722,-1.33360124270422,26.3803897607312,30.6537154855015,-4.2733257247703,3.26465840306254,2.67943003849148,24.3303457676103,18.8773360914732,-15.6126776884106,4.41523084482909,3.86146517858303,3.41513354284336,2.91509849991638,1.50013234491271
T4-R3,LOS,-1.72,113.363449747204,115.805720901831,-2.44227115462746,17.2659857633722,22.8381949271029,-5.57220916373067,4.99879890642673,4.66801416442323,4.10289861821758,7.94876231966512,-2.94996341323839,3.26465840306231,3.54719274745699,2.94386935522764,2.40887534624524,0.855783056817077
T4-R37,LOS,-1.72,105.118298940202,106.798229038066,-1.6799300978638,7.66271843324211,7.56980966646028,0.0929087667818251,7.1278635912463,12.7979306701483,10.8910511464391,10.0539387263464,-2.92607513510009,13.8331685089681,13.8467005646522,13.4811560269414,12.8712518022336,0.961916706734494
T4-R38,NLOS,-1.72,138.235365597572,139.397291102842,-1.16192550527032,0.544094530640006,0.582030502853798,-0.0379359722137924,4.96457723633295,4.33056166036833,3.89446343628183,3.39091737737011,1.57365985896284,4.96457723633288,4.33056166036825,3.89446343628192,3.39091737737,1.57365985896288
T5-R1,NLOS,-3,115.452082476376,117.002038330289,-1.54995585391383,36.8220167729737,39.1870413717663,-2.36502459879263,57.7161559701822,53.2113529636291,51.6795043703916,50.0170724933857,7.69908347679647,10.216232729538,10.3680477744143,11.0667538996414,10.4522587386654,-0.236026009127457
T5-R10,NLOS,-3,122.63932011459,126.106583943396,-3.46726382880588,36.5675093039085,47.0224522792758,-10.4549429753672,5.17592156512348,33.2265621921753,38.8449311958299,33.1319166757573,-27.9559951106338,19.4321784457923,18.6416036804677,18.3770236504101,17.6671611571433,1.76501728864899
T5-R3,LOS,-3,107.271280419045,109.030543579608,-1.75926316056348,15.6461305874693,17.962490086772,-2.31635949930272,3.26465840306243,8.71714364465454,7.77318403850386,10.1989511445383,-6.93429274147589,3.26465840306231,8.43230789871045,8.31489183892048,7.97524149792008,-4.71058309485776
T5-R35,LOS,-3,110.972700177933,112.319690879709,-1.34699070177591,1.36397218355746,1.32305686194953,0.0409153216079297,3.26465840306243,4.04703109599645,3.52331316729955,3.31002011604556,-0.0453617129831376,3.26465840306243,3.46913190467656,2.8353461744719,2.81653440121366,0.44812400184877
T6-R1,LOS,-1.55,104.092433095303,106.562204633161,-2.46977153785822,18.7896744239451,17.9008442180214,0.888830205923693,4.69006944934097,4.72484119563103,4.18414971785656,6.87487691163099,-2.18480746229002,4.85699080328069,4.66518475967153,4.26198037366664,4.44025435158321,0.416736451697486
T6-R39,NLOS,-1.55,113.254554237762,115.591035406274,-2.33648116851229,23.5889847857932,23.8745613687672,-0.28557658297408,61.5846590831536,62.3604467464847,62.370744918871,62.904692869245,-1.32003378609147,31.8761655240127,31.2485672589276,31.4387065130558,31.1991072641731,0.677058259839555
T6-R40,NLOS,-1.55,120.157738662007,122.823203915924,-2.66546525391648,29.8807225750152,36.1334545815585,-6.25273200654335,34.9292323640643,32.4370267861225,30.7083384055893,29.7909411963171,5.13829116774718,3.97379795709107,26.6603034971984,24.5035074185747,22.2106020625455,-18.2368041054544
