Location,Env,Distance_m,PL_NYU_dB,PL_USC_dB,Delta_PL_dB,DS_NYU_ns,DS_USC_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC
R11,LOS,36.3,101.138309875316,107.520723009289,-6.38241313397343,5.5527013994433,6.4297665818672,-0.877065182423901,9.90140046549011,9.72888111240306,9.80241348914365,11.5128678085842,9.63388626172383,9.56036915487087,9.55691914358618,9.56545576385329
R12,LOS,57.9,103.011030657534,108.640827210074,-5.62979655253973,3.3727420095018,4.03070610121178,-0.657964091709978,10.4654776390411,10.1543821769998,10.8669880470583,11.5560670583124,9.50944749714494,9.54602585884227,9.53639749430445,9.32966637047759
R13,LOS,65.7,101.920486051576,109.569923663996,-7.64943761242019,2.71270701486245,4.33085169988307,-1.61814468502062,11.9323690610292,10.9847131998662,11.0872331212619,12.1259775662137,11.7430343054671,11.4733826781983,11.1013877492347,10.9801917939894
R01,NLOS,46,118.486320511413,122.549198051725,-4.06287754031155,27.8381695382462,24.5247431495061,3.3134263887401,10.9606666163469,14.6059825124551,20.4600435032549,19.7479110455835,47.0891557791229,45.8879939529832,45.4521782766808,45.1932729156645
R02,NLOS,73,122.542530792704,128.249724268423,-5.7071934757189,22.231691438575,23.2793871134837,-1.04769567490872,23.6410625106724,24.1374820244118,24.5462564659755,26.7699801483608,31.6487544438418,32.144586155039,31.6002288417261,31.2506576281482
R03,NLOS,83,124.059217371737,128.964474742029,-4.90525737029215,19.3921832610653,20.077167771207,-0.684984510141696,28.6620467255761,27.7472812032329,30.6635409796136,29.9533111067496,28.5926445643966,28.182840225641,27.3504248432963,26.9079382214643
R04,NLOS,40.66,116.093524708129,122.798924574108,-6.70539986597888,44.7651920809543,62.7359210154891,-17.9707289345348,44.7114300199218,50.0511406556,50.2754288666388,50.0104851716571,11.45103954961,16.9001201948487,16.0756466844559,15.5915768383577
R05,NLOS,53.35,117.173342807296,121.631779308512,-4.45843650121584,64.0209397726018,66.0046574360784,-1.98371766347658,79.9267673282687,80.2549051477834,81.0582694189787,81.1445733837578,23.4688064814562,23.4972769734532,22.853607180312,22.3988533957783
R06,NLOS,62.56,121.512556174004,126.492506038673,-4.97994986466897,42.3464863783482,50.9190475050583,-8.57256112671008,53.1338300537947,54.5424341752832,54.6644212523528,54.5029382720273,19.334905975504,22.3236742206912,21.5512436865222,21.0202293780245
R07,NLOS,35,104.821572245488,109.43598049918,-4.61440825369222,5.65849911599275,6.10181358960538,-0.443314473612628,9.19592876671367,12.3441591127222,19.600877733562,19.7204688523875,9.84186699553652,9.99913472070591,10.9386384591581,10.6765506779859
R08,NLOS,45.47,101.22613766064,106.162761572007,-4.93662391136752,2.47424443573502,2.89706978452761,-0.422825348792597,9.91108469561445,10.0475640533994,9.74493272047256,11.1759206694491,10.2812836318207,9.99663144036589,9.54531675107085,9.67583216741156
R09,NLOS,58.5,115.192020894716,121.688652571368,-6.49663167665261,14.2897753009343,21.6849847953688,-7.3952094944345,17.5692284039,17.7249958465283,22.2789828777038,21.3362488854423,26.8774874649664,26.4173948341405,26.7205664886081,26.2750824754507
R10,NLOS,65.7,120.188060303067,125.134564756968,-4.9465044539011,24.3616214795895,30.5891081490655,-6.22748666947599,11.6501334990348,13.318615078071,22.703920609821,22.2169869336427,12.554843528969,14.2220990701714,14.5118014296934,14.0140888311397
R11,NLOS,18.3,112.708302691997,118.912683301187,-6.20438060918988,10.9773316172807,13.3517267498553,-2.37439513257459,19.734896225222,23.2120402997452,25.9392622753259,26.0584920089458,18.1573648757871,17.0973421938704,16.7551839411214,17.0431652383066
R12,NLOS,20.8,105.174040085884,109.37178614832,-4.19774606243654,3.36565017709707,3.74658694799929,-0.380936770902221,9.54832883105856,8.84318497899944,9.38841927116136,11.0379195526058,9.4466584098487,9.20372041304899,9.06879961966336,9.22276014666891
R13,NLOS,30,119.814084679784,124.154593143008,-4.34050846322421,36.6244037267679,39.8410272491546,-3.21662352238669,14.4292785533605,23.1821587872139,26.9251764261238,28.2996083503629,27.6336969385041,29.431296047865,28.6396626991163,28.155331536331
